timestamp,epoch,step,mode,scope,q,initial_lr,current_lr,batch_size,gradient_accumulation_steps,effective_batch_size,optimizer,bp_interval,loss,grad_norm
2025-11-12 00:02:37,1,10,ZO,full,8,0.001,3.0000000000000004e-05,4,1,4,mudamw,N/A,10.980120658874512,87675.27760446232
2025-11-12 00:04:03,1,20,ZO,full,8,0.001,6.333333333333333e-05,4,1,4,mudamw,N/A,10.980025291442871,68388.26329295519
2025-11-12 00:05:29,1,30,ZO,full,8,0.001,9.666666666666667e-05,4,1,4,mudamw,N/A,10.970624923706055,83159.614764061
2025-11-12 00:06:52,1,40,ZO,full,8,0.001,0.00013,4,1,4,mudamw,N/A,10.953459739685059,79259.29499650972
2025-11-12 00:08:18,1,50,ZO,full,8,0.001,0.00016333333333333334,4,1,4,mudamw,N/A,10.94417667388916,68109.90436195981
2025-11-12 00:09:43,1,60,ZO,full,8,0.001,0.00019666666666666669,4,1,4,mudamw,N/A,10.976897239685059,52763.76825369922
2025-11-12 00:11:06,1,70,ZO,full,8,0.001,0.00023,4,1,4,mudamw,N/A,10.934269905090332,93825.40743654041
2025-11-12 00:12:34,1,80,ZO,full,8,0.001,0.00026333333333333336,4,1,4,mudamw,N/A,10.919652938842773,33451.84249541987
2025-11-12 00:14:00,1,90,ZO,full,8,0.001,0.00029666666666666665,4,1,4,mudamw,N/A,10.901883125305176,76487.54192391399
2025-11-12 00:15:25,1,100,ZO,full,8,0.001,0.00033,4,1,4,mudamw,N/A,10.874869346618652,36375.98441779644
2025-11-12 00:16:50,1,110,ZO,full,8,0.001,0.00036333333333333335,4,1,4,mudamw,N/A,10.85567855834961,51604.647103849966
2025-11-12 00:18:14,1,120,ZO,full,8,0.001,0.0003966666666666667,4,1,4,mudamw,N/A,10.827327728271484,66932.6787244502
2025-11-12 00:19:37,1,130,ZO,full,8,0.001,0.00043,4,1,4,mudamw,N/A,10.791211128234863,63682.73314069938
2025-11-12 00:21:01,1,140,ZO,full,8,0.001,0.0004633333333333334,4,1,4,mudamw,N/A,10.719494819641113,70155.93142448548
2025-11-12 00:22:27,1,150,ZO,full,8,0.001,0.0004966666666666666,4,1,4,mudamw,N/A,10.707940101623535,53135.089368626395
2025-11-12 00:23:50,1,160,ZO,full,8,0.001,0.00053,4,1,4,mudamw,N/A,10.642005920410156,39937.18086667045
2025-11-12 00:25:17,1,170,ZO,full,8,0.001,0.0005633333333333333,4,1,4,mudamw,N/A,10.605537414550781,56533.49278969019
2025-11-12 00:26:42,1,180,ZO,full,8,0.001,0.0005966666666666667,4,1,4,mudamw,N/A,10.61552619934082,32827.219159972345
2025-11-12 00:28:06,1,190,ZO,full,8,0.001,0.00063,4,1,4,mudamw,N/A,10.552934646606445,51989.38689212391
2025-11-12 00:29:31,1,200,ZO,full,8,0.001,0.0006633333333333334,4,1,4,mudamw,N/A,10.53731918334961,68875.63831297342
2025-11-12 00:30:57,1,210,ZO,full,8,0.001,0.0006966666666666666,4,1,4,mudamw,N/A,10.445697784423828,45916.87374523807
2025-11-12 00:32:23,1,220,ZO,full,8,0.001,0.00073,4,1,4,mudamw,N/A,10.46735668182373,31962.721317703898
2025-11-12 00:33:49,1,230,ZO,full,8,0.001,0.0007633333333333333,4,1,4,mudamw,N/A,10.403745651245117,57137.82357924606
2025-11-12 00:35:13,1,240,ZO,full,8,0.001,0.0007966666666666668,4,1,4,mudamw,N/A,10.3952054977417,58236.584996283025
