timestamp,epoch,step,mode,q,lr,bs,loss,grad_norm,acc
2025-10-29 18:37:26,1,0,ZO,2,0.0005,16,0.687012,774.410888,0.5413
2025-10-29 18:37:27,1,20,ZO,2,0.0005,16,0.692510,1368.842333,0.5459
2025-10-29 18:37:28,1,40,ZO,2,0.0005,16,0.680533,1091.729016,0.5069
2025-10-29 18:37:28,1,60,ZO,2,0.0005,16,0.697252,204.789855,0.5103
2025-10-29 18:37:29,1,80,ZO,2,0.0005,16,0.719925,404.373223,0.5092
2025-10-29 18:37:30,1,100,ZO,2,0.0005,16,0.663901,578.958649,0.5092
2025-10-29 18:37:31,1,120,ZO,2,0.0005,16,0.698473,683.695573,0.5103
2025-10-29 18:37:32,1,140,ZO,2,0.0005,16,0.713473,800.325425,0.5103
2025-10-29 18:37:33,1,160,ZO,2,0.0005,16,0.736924,246.301755,0.5092
2025-10-29 18:37:34,1,180,ZO,2,0.0005,16,0.723891,1161.330726,0.5092
2025-10-29 18:37:35,1,200,ZO,2,0.0005,16,0.659902,284.922696,0.5092
2025-10-29 18:37:36,1,220,ZO,2,0.0005,16,0.634697,346.453689,0.5092
2025-10-29 18:37:37,1,240,ZO,2,0.0005,16,0.729237,1379.139146,0.5092
2025-10-29 18:37:38,1,260,ZO,2,0.0005,16,0.690264,305.412857,0.5092
2025-10-29 18:37:39,1,280,ZO,2,0.0005,16,0.733516,1031.879788,0.5092
2025-10-29 18:37:40,1,300,ZO,2,0.0005,16,0.718421,1181.742842,0.5092
2025-10-29 18:37:41,1,320,ZO,2,0.0005,16,0.687465,95.765006,0.5092
2025-10-29 18:37:42,1,340,ZO,2,0.0005,16,0.628543,918.828389,0.5092
2025-10-29 18:37:43,1,360,ZO,2,0.0005,16,0.694131,606.138516,0.5092
2025-10-29 18:37:43,1,380,ZO,2,0.0005,16,0.686293,644.867101,0.5092
2025-10-29 18:37:44,1,400,ZO,2,0.0005,16,0.760046,592.440464,0.5092
2025-10-29 18:37:45,1,420,ZO,2,0.0005,16,0.652224,243.285785,0.5092
2025-10-29 18:37:46,1,440,ZO,2,0.0005,16,0.699309,95.070346,0.5092
2025-10-29 18:37:47,1,460,ZO,2,0.0005,16,0.713211,586.694962,0.5092
2025-10-29 18:37:48,1,480,ZO,2,0.0005,16,0.727924,304.297565,0.5092
2025-10-29 18:37:49,1,500,ZO,2,0.0005,16,0.662503,381.527469,0.5103
2025-10-29 18:37:50,1,520,ZO,2,0.0005,16,0.672488,157.820422,0.5103
2025-10-29 18:37:51,1,540,ZO,2,0.0005,16,0.711816,938.491893,0.5103
2025-10-29 18:37:52,1,560,ZO,2,0.0005,16,0.702768,1711.551497,0.5252
2025-10-29 18:37:53,1,580,ZO,2,0.0005,16,0.674103,1220.195376,0.5218
2025-10-29 18:37:54,1,600,ZO,2,0.0005,16,0.689711,207.943237,0.5241
2025-10-29 18:37:55,1,620,ZO,2,0.0005,16,0.651839,171.861404,0.5126
2025-10-29 18:37:56,1,640,ZO,2,0.0005,16,0.676664,372.385373,0.5126
2025-10-29 18:37:57,1,660,ZO,2,0.0005,16,0.720679,851.166566,0.5103
2025-10-29 18:37:58,1,680,ZO,2,0.0005,16,0.680022,1111.031718,0.5103
2025-10-29 18:37:59,1,700,ZO,2,0.0005,16,0.662069,474.080490,0.5103
2025-10-29 18:37:59,1,720,ZO,2,0.0005,16,0.681175,499.634767,0.5103
2025-10-29 18:38:00,1,740,ZO,2,0.0005,16,0.643861,1273.534061,0.5103
2025-10-29 18:38:01,1,760,ZO,2,0.0005,16,0.670787,306.078778,0.5103
2025-10-29 18:38:02,1,780,ZO,2,0.0005,16,0.717528,275.506608,0.5172
2025-10-29 18:38:03,1,800,ZO,2,0.0005,16,0.708978,591.893146,0.5275
2025-10-29 18:38:04,1,820,ZO,2,0.0005,16,0.668542,324.134681,0.5333
2025-10-29 18:38:05,1,840,ZO,2,0.0005,16,0.684167,862.786365,0.5126
2025-10-29 18:38:06,1,860,ZO,2,0.0005,16,0.698996,371.188542,0.5103
2025-10-29 18:38:07,1,880,ZO,2,0.0005,16,0.628717,373.292496,0.5161
2025-10-29 18:38:08,1,900,ZO,2,0.0005,16,0.673408,193.905366,0.5103
2025-10-29 18:38:09,1,920,ZO,2,0.0005,16,0.637886,337.093880,0.5103
2025-10-29 18:38:10,1,940,ZO,2,0.0005,16,0.648231,561.969840,0.5092
2025-10-29 18:38:11,1,960,ZO,2,0.0005,16,0.626191,577.006893,0.5092
2025-10-29 18:38:12,1,980,ZO,2,0.0005,16,0.712616,1260.315974,0.5126
2025-10-29 18:38:13,1,1000,ZO,2,0.0005,16,0.721321,214.009791,0.5092
2025-10-29 18:38:14,1,1020,ZO,2,0.0005,16,0.687131,480.241676,0.5264
2025-10-29 18:38:15,1,1040,ZO,2,0.0005,16,0.695100,267.870183,0.5573
2025-10-29 18:38:16,1,1060,ZO,2,0.0005,16,0.650544,744.883109,0.5401
2025-10-29 18:38:17,1,1080,ZO,2,0.0005,16,0.722402,1648.581099,0.5378
2025-10-29 18:38:18,1,1100,ZO,2,0.0005,16,0.676504,850.614698,0.5275
2025-10-29 18:38:19,1,1120,ZO,2,0.0005,16,0.659508,394.355751,0.5424
2025-10-29 18:38:20,1,1140,ZO,2,0.0005,16,0.679523,293.692897,0.5229
2025-10-29 18:38:20,1,1160,ZO,2,0.0005,16,0.652200,373.699674,0.5161
2025-10-29 18:38:21,1,1180,ZO,2,0.0005,16,0.672798,320.884634,0.5103
2025-10-29 18:38:22,1,1200,ZO,2,0.0005,16,0.627224,1898.558660,0.5241
2025-10-29 18:38:23,1,1220,ZO,2,0.0005,16,0.676990,352.495646,0.5413
2025-10-29 18:38:24,1,1240,ZO,2,0.0005,16,0.605852,1383.618795,0.5103
2025-10-29 18:38:25,1,1260,ZO,2,0.0005,16,0.635064,883.461678,0.5183
2025-10-29 18:38:26,1,1280,ZO,2,0.0005,16,0.638307,252.052804,0.5298
2025-10-29 18:38:27,1,1300,ZO,2,0.0005,16,0.714020,1071.576617,0.5378
2025-10-29 18:38:28,1,1320,ZO,2,0.0005,16,0.665151,191.060322,0.5482
2025-10-29 18:38:29,1,1340,ZO,2,0.0005,16,0.689291,35.392991,0.6227
2025-10-29 18:38:30,1,1360,ZO,2,0.0005,16,0.671425,596.264007,0.6778
