timestamp,epoch,step,mode,lr,bs,loss,grad_norm,acc
2025-10-29 19:50:12,1,0,ZO,0.001,16,0.686840,1059.927873,0.5562
2025-10-29 19:50:13,1,50,ZO,0.001,16,0.672987,310.819788,0.5092
2025-10-29 19:50:14,1,100,ZO,0.001,16,0.699786,595.479098,0.5115
2025-10-29 19:50:15,1,150,ZO,0.001,16,0.698111,784.588697,0.5149
2025-10-29 19:50:16,1,200,ZO,0.001,16,0.673694,1929.211764,0.5275
2025-10-29 19:50:17,1,250,ZO,0.001,16,0.716992,450.655206,0.5103
2025-10-29 19:50:18,1,300,ZO,0.001,16,0.729037,1794.584795,0.5092
2025-10-29 19:50:20,1,350,ZO,0.001,16,0.646124,1972.194216,0.5665
2025-10-29 19:50:21,1,400,ZO,0.001,16,0.785631,629.066868,0.4908
2025-10-29 19:50:22,1,450,ZO,0.001,16,0.766456,1342.493174,0.5356
2025-10-29 19:50:23,1,500,ZO,0.001,16,0.658607,2092.160230,0.5688
2025-10-29 19:50:24,1,550,ZO,0.001,16,0.748306,8504.340456,0.5688
2025-10-29 19:50:25,1,600,ZO,0.001,16,0.749126,4540.652040,0.5459
2025-10-29 19:50:26,1,650,ZO,0.001,16,0.609362,794.851238,0.5906
2025-10-29 19:50:28,1,700,ZO,0.001,16,0.613900,3345.542988,0.5722
2025-10-29 19:50:29,1,750,ZO,0.001,16,0.716866,5844.749678,0.5447
2025-10-29 19:50:30,1,800,ZO,0.001,16,2.009817,19334.826201,0.4862
2025-10-29 19:50:31,1,850,ZO,0.001,16,1.218638,1532.065315,0.5034
2025-10-29 19:50:32,1,900,ZO,0.001,16,1.280104,361.640287,0.5138
2025-10-29 19:50:33,1,950,ZO,0.001,16,2.073526,458.272055,0.4989
2025-10-29 19:50:34,1,1000,ZO,0.001,16,6.768774,27144.650484,0.5000
2025-10-29 19:50:35,1,1050,ZO,0.001,16,7.224122,21530.139616,0.5321
2025-10-29 19:50:36,1,1100,ZO,0.001,16,17.363556,12291.034245,0.4507
2025-10-29 19:50:37,1,1150,ZO,0.001,16,39.938972,33383.109148,0.5229
2025-10-29 19:50:39,1,1200,ZO,0.001,16,110.498764,114605.307386,0.4266
2025-10-29 19:50:40,1,1250,ZO,0.001,16,180.076324,281632.903420,0.4679
2025-10-29 19:50:41,1,1300,ZO,0.001,16,316.736633,194365.365391,0.5229
2025-10-29 19:50:42,1,1350,ZO,0.001,16,2685.547607,1075310.125802,0.4610
2025-10-29 19:50:43,1,1400,ZO,0.001,16,2300.614014,630619.664377,0.4702
2025-10-29 19:50:44,1,1450,ZO,0.001,16,12448.435547,1097170.568723,0.6067
2025-10-29 19:50:45,1,1500,ZO,0.001,16,16729.710938,10024237.917216,0.5092
2025-10-29 19:50:46,1,1550,ZO,0.001,16,83141.820312,180357.235711,0.5413
2025-10-29 19:50:47,1,1600,ZO,0.001,16,110600.812500,20166942.405946,0.5092
2025-10-29 19:50:48,1,1650,ZO,0.001,16,459328.437500,19826082.357238,0.5539
2025-10-29 19:50:49,1,1700,ZO,0.001,16,9303018.000000,49999585.467466,0.4908
2025-10-29 19:50:51,1,1750,ZO,0.001,16,25657084.000000,108001037.974205,0.5103
2025-10-29 19:50:52,1,1800,ZO,0.001,16,30330436.000000,30789698.822222,0.5803
2025-10-29 19:50:53,1,1850,ZO,0.001,16,157278912.000000,308055825.049117,0.5034
2025-10-29 19:50:54,1,1900,ZO,0.001,16,113313736294400.000000,0.000000,0.5092
2025-10-29 19:50:55,1,1950,ZO,0.001,16,243069261709312.000000,0.000000,0.5092
2025-10-29 19:50:56,1,2000,ZO,0.001,16,324019144359936.000000,0.000000,0.5092
2025-10-29 19:50:57,1,2050,ZO,0.001,16,278779062648832.000000,0.000000,0.5092
2025-10-29 19:50:58,1,2100,ZO,0.001,16,277282769862656.000000,0.000000,0.5092
2025-10-29 19:50:59,1,2150,ZO,0.001,16,206415664389292032.000000,0.000000,0.4885
2025-10-29 19:51:00,1,2200,ZO,0.001,16,200303221552447488.000000,0.000000,0.4885
2025-10-29 19:51:01,1,2250,ZO,0.001,16,254129985088913408.000000,0.000000,0.4885
2025-10-29 19:51:03,1,2300,ZO,0.001,16,222060563801309184.000000,0.000000,0.4885
2025-10-29 19:51:04,1,2350,ZO,0.001,16,166318193311219712.000000,0.000000,0.4885
2025-10-29 19:51:05,1,2400,ZO,0.001,16,183830870921052160.000000,0.000000,0.4885
2025-10-29 19:51:06,1,2450,ZO,0.001,16,206572499415072768.000000,0.000000,0.4885
2025-10-29 19:51:07,1,2500,ZO,0.001,16,100970257312645120.000000,0.000000,0.4885
2025-10-29 19:51:08,1,2550,ZO,0.001,16,198415428807032832.000000,0.000000,0.4885
2025-10-29 19:51:09,1,2600,ZO,0.001,16,213886519482515456.000000,0.000000,0.4885
2025-10-29 19:51:10,1,2650,ZO,0.001,16,126740275837009920.000000,0.000000,0.4885
2025-10-29 19:51:11,1,2700,ZO,0.001,16,275347003272069120.000000,0.000000,0.4885
2025-10-29 19:51:12,1,2750,ZO,0.001,16,240162940420882432.000000,0.000000,0.4885
2025-10-29 19:51:13,1,2800,ZO,0.001,16,199072249565675520.000000,0.000000,0.4885
2025-10-29 19:51:14,1,2850,ZO,0.001,16,224480039138230272.000000,0.000000,0.4885
2025-10-29 19:51:15,1,2900,ZO,0.001,16,212768333336936448.000000,0.000000,0.4885
2025-10-29 19:51:17,1,2950,ZO,0.001,16,177250843584626688.000000,0.000000,0.4885
2025-10-29 19:51:18,1,3000,ZO,0.001,16,219728722977095680.000000,0.000000,0.4885
2025-10-29 19:51:19,1,3050,ZO,0.001,16,193103928651415552.000000,0.000000,0.4885
2025-10-29 19:51:20,1,3100,ZO,0.001,16,256232663638081536.000000,0.000000,0.4885
2025-10-29 19:51:21,1,3150,ZO,0.001,16,287560739210657792.000000,0.000000,0.4885
2025-10-29 19:51:22,1,3200,ZO,0.001,16,186692057874563072.000000,0.000000,0.4885
2025-10-29 19:51:23,1,3250,ZO,0.001,16,241380958786289664.000000,0.000000,0.4885
2025-10-29 19:51:24,1,3300,ZO,0.001,16,131836271713583104.000000,0.000000,0.4885
2025-10-29 19:51:25,1,3350,ZO,0.001,16,200568049235918848.000000,0.000000,0.4885
2025-10-29 19:51:27,1,3400,ZO,0.001,16,211694350994767872.000000,0.000000,0.4885
2025-10-29 19:51:28,1,3450,ZO,0.001,16,206899329246429184.000000,0.000000,0.4885
2025-10-29 19:51:29,1,3500,ZO,0.001,16,206761443616358400.000000,0.000000,0.4885
2025-10-29 19:51:30,1,3550,ZO,0.001,16,133639556682481664.000000,0.000000,0.4885
2025-10-29 19:51:31,1,3600,ZO,0.001,16,181301599040176128.000000,0.000000,0.4885
2025-10-29 19:51:32,1,3650,ZO,0.001,16,119486574290272256.000000,0.000000,0.4885
2025-10-29 19:51:33,1,3700,ZO,0.001,16,203101169407492096.000000,0.000000,0.4885
2025-10-29 19:51:34,1,3750,ZO,0.001,16,138995037303209984.000000,0.000000,0.4885
2025-10-29 19:51:35,1,3800,ZO,0.001,16,95066386677628928.000000,0.000000,0.4885
2025-10-29 19:51:36,1,3850,ZO,0.001,16,196510353113219072.000000,0.000000,0.4885
2025-10-29 19:51:38,1,3900,ZO,0.001,16,239953105498669056.000000,0.000000,0.4885
2025-10-29 19:51:39,1,3950,ZO,0.001,16,158339552824524800.000000,0.000000,0.4885
2025-10-29 19:51:40,1,4000,ZO,0.001,16,238241956168204288.000000,0.000000,0.4885
